SourceFile,Record
666_SALES_DATA_NNME_28102024.DAT,B;666;2764470;20;20241028 01:08;;;5;MAITLAND ST;WEST TAMWORTH;2340;607;M;20241001;20241018;395000;R1;R;RESIDENCE;;AAA;;0;AU507772;
666_SALES_DATA_NNME_28102024.DAT,B;666;2768929;21;20241028 01:08;;;16;THE RETREAT;HILLVUE;2340;800;M;20240904;20241016;630000;R1;R;RESIDENCE;;ANH;;0;AU501539;
666_SALES_DATA_NNME_28102024.DAT,B;666;2766500;22;20241028 01:08;;;48;PANORAMA RD;CALALA;2340;3237;M;20240916;20241024;1000000;R2;R;RESIDENCE;;AAQ;;0;AU525672;
666_SALES_DATA_NNME_28102024.DAT,B;666;2769229;23;20241028 01:08;;5;95;UPPER ST;NORTH TAMWORTH;2340;171;M;20241003;20241023;475000;;R;RESIDENCE;5;;;0;AU520571;
666_SALES_DATA_NNME_28102024.DAT,B;666;2767555;24;20241028 01:08;;;4;QUINN ST;WEST TAMWORTH;2340;588;M;20240925;20241024;300000;R1;R;RESIDENCE;;AAA;;0;AU523364;
666_SALES_DATA_NNME_28102024.DAT,B;666;2770378;25;20241028 01:08;;;32;YARMOUTH PDE;OXLEY VALE;2340;625.3;M;20240926;20241024;570000;R1;R;RESIDENCE;;AOV;;0;AU523508;
666_SALES_DATA_NNME_28102024.DAT,B;666;2770392;26;20241028 01:08;;;2;YARMOUTH PDE;OXLEY VALE;2340;569;M;20240912;20241024;535000;R1;R;RESIDENCE;;AOV;;0;AU524619;
666_SALES_DATA_NNME_28102024.DAT,B;666;4468701;27;20241028 01:08;;;20;CLIFFDALE PL;KOOTINGAL;2352;795.5;M;20231211;20241018;800000;R1;R;RESIDENCE;;AZK;;0;AU511554;
666_SALES_DATA_NNME_28102024.DAT,B;666;4468708;28;20241028 01:08;;;45;REGINALD DR;KOOTINGAL;2352;649.8;M;20240918;20241018;220000;R1;V;VACANT LAND;;AZK;;0;AU510187;
666_SALES_DATA_NNME_28102024.DAT,B;666;4429381;29;20241028 01:08;;;48;LAMBRUSCO WAY;NORTH TAMWORTH;2340;756.1;M;20240912;20241018;945000;R1;R;RESIDENCE;;AAW;;0;AU507435;
666_SALES_DATA_NNME_28102024.DAT,B;666;4443561;30;20241028 01:08;;;45;EVESHAM CCT;NORTH TAMWORTH;2340;1098;M;20240910;20241022;210000;R1;V;VACANT LAND;;AAW;;0;AU517793;
666_SALES_DATA_NNME_28102024.DAT,B;666;4467848;31;20241028 01:08;;;14;HOMESTEAD CCT;NORTH TAMWORTH;2340;655.4;M;20240924;20241021;769500;R1;R;RESIDENCE;;AAW;;0;AU514231;
